FacilityId,County,Place,Class,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic
IL0850200,Jo Daviess,Galena,city,Galena (PWS),3/29/19 12:16,2018,2025,0,2025,1,1113,281,0,0,539,0,91
IL0950200,Knox,Galesburg,city,Galesburg (PWS),4/8/19 11:40,2018,12243,7,12236,1871,399,0,132,0,5763,68,4010
IL0730450,Henry,Galva,city,Galva (PWS),5/10/19 13:33,2018,1292,0,1292,99,427,0,10,0,620,0,136
IL0630400,Grundy,Gardner,village,Gardner (PWS),5/8/19 14:56,2018,589,0,589,0,0,0,0,0,500,0,89
IL0410010,Douglas,Garrett,village,Garrett (PWS),3/13/19 19:44,2018,65,0,65,0,0,0,0,0,65,0,0
IL0730500,Henry,Geneseo,city,Geneseo (PWS),3/27/19 13:27,2018,3851,2,3849,0,2633,1111,0,0,102,0,5
IL0890350,Kane,Geneva,city,Geneva (PWS),4/4/19 14:14,2018,8314,0,8314,196,2020,0,39,0,6058,0,1
IL0370150,DeKalb,Genoa,city,Genoa (PWS),3/28/19 15:21,2018,1963,0,1963,33,713,0,5,0,1209,0,3
IL1830350,Vermilion,Georgetown,city,Georgetown (PWS),3/13/19 14:41,2018,1616,2,1614,0,0,0,0,0,1611,0,5
IL1770250,Stephenson,German Valley,village,German Valley (PWS),6/3/19 5:01,2018,191,0,191,0,0,0,0,0,42,1,148
IL0270350,Clinton,Germantown,village,Germantown (PWS),3/28/19 14:32,2018,625,0,625,0,0,0,0,0,615,0,10
IL0530100,Ford,Gibson City,unknown,Gibson City (PWS),5/9/19 12:42,2018,1605,0,1605,0,799,0,95,0,708,0,3
IL0190250,Champaign,Gifford,village,Gifford (PWS),3/19/19 9:51,2018,381,0,381,0,127,0,0,0,101,0,153
IL0890400,Kane,Gilberts,village,Gilberts (PWS),4/30/19 8:24,2018,2028,0,2028,0,0,0,0,0,2028,0,0
IL1170400,Macoupin,Gillespie,city,Gillespie (PWS),4/4/19 18:14,2018,1736,7,1729,106,0,970,150,100,250,0,160
IL0750450,Iroquois,Gilman,city,Gilman (PWS),4/15/19 18:38,2018,816,0,816,31,488,0,0,0,240,0,57
IL1170450,Macoupin,Girard,city,Girard (PWS),3/19/19 16:21,2018,975,0,975,0,0,0,0,5,955,0,15
IL0710020,Henderson,Gladstone,village,Gladstone (PWS),4/26/19 13:59,2018,250,0,250,0,0,0,0,0,0,0,250
IL1430350,Peoria,Glasford,village,Illinois American - Glasford (PWS),3/22/19 13:36,2018,493,0,493,0,0,60,60,0,60,13,300
IL1190300,Madison,Glen Carbon,village,Glen Carbon (PWS),3/13/19 14:11,2018,5320,0,5320,0,750,2934,50,0,386,0,1200
IL0430450,DuPage,Glen Ellyn,village,Glen Ellyn (PWS),4/15/19 16:30,2018,8432,0,8432,88,4479,0,15,1212,2623,14,1
IL0310990,Cook,Glencoe,village,Glencoe (PWS),4/8/19 13:38,2018,3160,0,3160,662,77,0,0,0,2372,46,3
IL0430400,DuPage,Glendale Heights,village,Glendale Heights (PWS),3/27/19 15:01,2018,8835,0,8835,0,0,7182,0,0,1647,6,0
IL0311020,Cook,Glenview,village,Glenview (PWS),4/15/19 8:50,2018,16198,2,16196,5113,120,4781,4,36,6142,2,0
IL0311050,Cook,Glenwood,village,Glenwood (PWS),5/29/19 13:06,2018,2884,0,2884,9,0,0,0,236,2639,0,0
IL1510100,Pope,Golconda,city,Golconda (PWS),4/1/19 10:56,2018,406,0,406,0,291,0,0,0,0,0,115
IL0010250,Adams,Golden,village,Golden (PWS),4/12/19 15:17,2018,310,0,310,0,0,0,0,0,233,0,77
IL0311080,Cook,Golf,village,Golf (PWS),4/10/19 10:47,2018,176,0,176,119,0,36,0,11,10,0,0
IL1090250,McDonough,Good Hope,village,Good Hope (PWS),4/14/19 16:00,2018,192,0,192,0,0,0,0,0,134,2,56
IL2034450,Woodford,Goodfield,village,Goodfield (PWS),4/14/19 21:22,2018,413,1,412,0,318,0,0,0,92,0,3
IL0870200,Johnson,Goreville,village,Goreville (PWS),4/16/19 9:54,2018,572,0,572,0,496,20,3,0,2,0,51
IL0770350,Jackson,Gorham,village,Gorham (PWS),4/15/19 10:31,2018,740,0,740,0,0,0,0,740,0,0,0
IL0990200,LaSalle,Grand Ridge,village,Grand Ridge (PWS),4/15/19 13:41,2018,240,0,240,0,20,0,0,0,120,0,100
IL0770400,Jackson,Grand Tower,city,Grand Tower (PWS),4/15/19 10:34,2018,323,0,323,0,0,0,0,323,0,0,0
IL1670500,Sangamon,Grandview,village,Grandview (PWS),3/22/19 13:59,2018,736,0,736,0,607,81,37,0,0,0,11
