"FacilityId","County","FacilityName","ReportedDate","ReportingYear","TotalServiceConnections","WholesaleConnections","RetailConnections","ServicesLead","ServicesUnknownMaterial","ServicesCopperLeadSolder","ServicesGalvanized","ServicesUnknownNotLead","ServicesCopperNonLeadSolder","ServicesCastDuctileIronTransite","ServicesPlastic"
"IL0977150","Lake","Schwermanns 2nd And 3rd Water Board (PWS)","5/4/2020 12:08:15 PM","2019","96","0","96","0","0","0","0","0","96","0","0"
"IL0975485","Lake","Pauls MHP (PWS)","5/4/2020 12:06:14 PM","2019","18","0","18","0","0","0","0","0","18","0","0"
"IL0975380","Lake","Duck Lake Well Owners Association (PWS)","5/4/2020 12:04:29 PM","2019","47","0","47","0","0","0","0","0","47","0","0"
"IL0971130","Lake","Tanneron Bay Homeowners Association (PWS)","5/4/2020 12:00:52 PM","2019","86","0","86","0","0","0","0","0","86","0","0"
"IL0977370","Lake","West Shore Park Subdivision (PWS)","5/4/2020 11:58:05 AM","2019","173","0","173","0","0","0","0","0","173","0","0"
"IL0970310","Lake","The Preserve At Long Grove (PWS)","5/4/2020 11:51:28 AM","2019","68","0","68","0","0","0","0","0","68","0","0"
"IL0970170","Lake","Royal Melbourne Homeowners Asn (PWS)","5/4/2020 11:36:36 AM","2019","126","0","126","0","0","0","0","0","126","0","0"
"IL0970320","Lake","Promontory Pointe Homeowners Association (PWS)","5/4/2020 11:33:42 AM","2019","26","0","26","0","0","0","0","0","26","0","0"
"IL0310370","Cook","Lindentree Townhomes (PWS)","5/4/2020 11:30:57 AM","2019","66","0","66","0","0","0","0","0","66","0","0"
"IL0971200","Lake","Prairie Trails Of Long Grove (PWS)","5/4/2020 11:26:48 AM","2019","62","0","62","0","0","0","0","0","62","0","0"
"IL0971060","Lake","Briarcrest Subdivision Homeowners Association (PWS)","5/4/2020 11:24:47 AM","2019","69","0","69","0","0","0","0","0","69","0","0"
"IL0375200","DeKalb","Valley View Subdivision (Dekalb) (PWS)","5/4/2020 10:57:17 AM","2019","48","0","48","0","48","0","0","0","0","0","0"
